PC1,PC2,neurotransmitter,cell_type,bodyId
-4.599648349549886,1.370345914493057,gaba,DM3_vPN,635407942
-4.74235877145297,2.1237066053880067,gaba,DM3_vPN,634379734
-4.841804660278772,5.224115312714697,gaba,DM3_vPN,481268653
-4.64245318675443,6.814494005779047,gaba,DM3_vPN,1694850602
-4.777886839660831,5.6467232017287925,gaba,DM3_vPN,1819326555
1.258244224336796,-0.9981395275596174,acetylcholine,VA1d_adPN,850375847
2.1149583415464,-1.0882517470439284,acetylcholine,VA1d_adPN,1851061177
1.713628996828636,-1.0923795067552915,acetylcholine,VA1d_adPN,5813055162
-2.181615917095653,-0.5082041261414124,gaba,VA1d_vPN,1888524453
0.5394160947782995,-1.196655903017363,acetylcholine,VA1v_adPN,1788300760
0.8440271317893566,-0.8990683114324635,acetylcholine,VA1v_adPN,5813024601
0.5209629801776061,-1.006881003699418,acetylcholine,VA1v_adPN,5813054697
-0.9564052792117582,-1.0141234050531756,gaba,VA1v_vPN,856071065
-0.998292453700288,-1.1485695730507743,gaba,VA1v_vPN,887105351
7.094096644195781,0.9302564705230101,acetylcholine,VA2_adPN,1977579449
2.1370912950256415,0.765378611703554,acetylcholine,VA3_adPN,1889253785
2.329373081828618,0.5130645662012548,acetylcholine,VA3_adPN,5813055025
4.83161930363584,1.1883989610648487,acetylcholine,VA4_lPN,1630051981
0.5839715121488724,0.21685703665521763,acetylcholine,VA5_lPN,574032862
0.44647968421437123,-0.020525539383220014,acetylcholine,VA5_lPN,574037281
0.6047921844147206,0.12471709214929096,acetylcholine,VA5_lPN,574374051
0.9271206527458563,-2.538480849349925,acetylcholine,VA6_adPN,1578658131
6.566397339920991,0.30368519336331645,acetylcholine,VA6_adPN,1881751117
3.458965737004007,1.579751151790381,acetylcholine,VA7l_adPN,1692817033
-0.8121376823486088,0.24394435061533454,acetylcholine,VA7m_lPN,1882083076
-0.6971759342058901,0.45833896580523614,acetylcholine,VA7m_lPN,5813050729
-1.0160988453243958,0.35841728600332406,acetylcholine,VA7m_lPN,5813055180
6.0648979271315495,1.1222150752445619,acetylcholine,VC1_lPN,606090268
4.189522495604187,1.1934172232748474,acetylcholine,VC2_lPN,1850706912
-0.14775656158997336,0.28022397724359854,acetylcholine,VC3_adPN,693125078
0.03426991949337372,0.09062037932228821,acetylcholine,VC3_adPN,1914823337
-0.019959943667246443,0.4036354791174101,acetylcholine,VC3_adPN,5813000276
0.7063956789752345,0.7148097399232558,acetylcholine,VC5_lvPN,662776660
