bodyId,hemibrain_type,cell_type,neurotransmitter,outgoing_edges,outgoing_synapses,outgoing_mean_synapses,outgoing_median_synapses,outgoing_max_synapses,outgoing_synapse_sd,incoming_edges,incoming_synapses,incoming_mean_synapses,incoming_median_synapses,incoming_max_synapses,incoming_synapse_sd,total_edges,total_synapses,outgoing_incoming_edge_ratio,outgoing_incoming_synapse_ratio
1702806746,DA3_adPN,DA3_adPN,acetylcholine,82,342,4.170731707317073,2.0,38,6.17802732918986,98,568,5.795918367346939,4.0,24,5.30310001475206,180,910,0.8367346938775511,0.602112676056338
1702815630,DA3_adPN,DA3_adPN,acetylcholine,65,300,4.615384615384615,2.0,34,5.973096735813392,89,442,4.966292134831461,4.0,16,3.9613170393714645,154,742,0.7303370786516854,0.6787330316742082
1703683361,DA3_adPN,DA3_adPN,acetylcholine,335,1190,3.5522388059701493,2.0,37,4.921794321586241,229,963,4.205240174672489,2.0,25,4.925476961404478,564,2153,1.462882096069869,1.2357217030114227
544021095,DA4l_adPN,DA4l_adPN,acetylcholine,482,4053,8.408713692946058,3.0,142,12.024963933148967,301,1379,4.5813953488372094,2.0,50,5.720505750937731,783,5432,1.601328903654485,2.9390862944162435
574037266,DA4m_adPN,DA4m_adPN,acetylcholine,667,4289,6.430284857571214,2.0,80,9.125049528507407,445,2035,4.573033707865169,2.0,50,5.703814987841725,1112,6324,1.498876404494382,2.1076167076167076
1640594274,DC1_adPN,DC1_adPN,acetylcholine,1070,13293,12.423364485981308,5.0,271,21.85917201553446,499,6232,12.488977955911823,2.0,159,24.435912794366633,1569,19525,2.1442885771543088,2.133023106546855
1380503545,DC2_adPN,DC2_adPN,acetylcholine,189,1477,7.814814814814815,5.0,50,8.314470377101252,219,1584,7.232876712328767,3.0,46,9.119271681362052,408,3061,0.863013698630137,0.9324494949494949
1703479954,DC2_adPN,DC2_adPN,acetylcholine,358,2043,5.706703910614525,2.0,77,9.051085007094063,410,2730,6.658536585365853,2.0,54,10.096138737808811,768,4773,0.8731707317073171,0.7483516483516484
1828206773,DC2_adPN,DC2_adPN,acetylcholine,574,4584,7.986062717770035,3.0,116,11.203487404397453,324,3050,9.41358024691358,2.0,72,14.719101576823048,898,7634,1.771604938271605,1.502950819672131
1889335463,DC2_adPN,DC2_adPN,acetylcholine,106,482,4.547169811320755,3.0,32,5.29893444000404,211,788,3.734597156398104,2.0,26,4.284600020648865,317,1270,0.5023696682464455,0.6116751269035533
5813055048,DC2_adPN,DC2_adPN,acetylcholine,542,4374,8.07011070110701,3.0,111,10.849783918507118,338,2724,8.059171597633137,2.0,78,12.386076293911547,880,7098,1.6035502958579881,1.605726872246696
1857825571,DC3_adPN,DC3_adPN,acetylcholine,377,3340,8.859416445623342,3.0,75,10.883027615700078,260,1974,7.592307692307692,3.0,55,10.74067515392318,637,5314,1.45,1.6919959473150963
1858171399,DC3_adPN,DC3_adPN,acetylcholine,395,3493,8.843037974683543,3.0,62,10.936163215414664,277,1987,7.1732851985559565,3.0,56,10.25679031187147,672,5480,1.4259927797833936,1.7579265223955711
5813039471,DC3_adPN,DC3_adPN,acetylcholine,399,3694,9.258145363408522,4.0,114,11.758500723529698,252,2210,8.76984126984127,3.0,86,12.357337416390035,651,5904,1.5833333333333333,1.6714932126696833
